date,time,origin,destination,ridership
2026-01-14,05:00,JB Sentral,Woodlands CIQ,640
2026-01-14,06:00,JB Sentral,Woodlands CIQ,640
2026-01-14,07:00,JB Sentral,Woodlands CIQ,638
2026-01-14,08:00,JB Sentral,Woodlands CIQ,317
2026-01-14,08:00,Woodlands CIQ,JB Sentral,270
2026-01-14,09:00,Woodlands CIQ,JB Sentral,319
2026-01-14,10:00,JB Sentral,Woodlands CIQ,321
2026-01-14,11:00,JB Sentral,Woodlands CIQ,197
2026-01-14,11:00,Woodlands CIQ,JB Sentral,324
2026-01-14,12:00,JB Sentral,Woodlands CIQ,206
2026-01-14,12:00,Woodlands CIQ,JB Sentral,302
2026-01-14,13:00,Woodlands CIQ,JB Sentral,119
2026-01-14,14:00,JB Sentral,Woodlands CIQ,204
2026-01-14,15:00,JB Sentral,Woodlands CIQ,268
2026-01-14,15:00,Woodlands CIQ,JB Sentral,128
2026-01-14,16:00,JB Sentral,Woodlands CIQ,323
2026-01-14,16:00,Woodlands CIQ,JB Sentral,93
2026-01-14,17:00,JB Sentral,Woodlands CIQ,316
2026-01-14,17:00,Woodlands CIQ,JB Sentral,218
2026-01-14,18:00,Woodlands CIQ,JB Sentral,316
2026-01-14,19:00,JB Sentral,Woodlands CIQ,317
2026-01-14,20:00,JB Sentral,Woodlands CIQ,315
2026-01-14,20:00,Woodlands CIQ,JB Sentral,319
2026-01-14,21:00,JB Sentral,Woodlands CIQ,318
2026-01-14,21:00,Woodlands CIQ,JB Sentral,320
2026-01-14,22:00,JB Sentral,Woodlands CIQ,151
2026-01-14,22:00,Woodlands CIQ,JB Sentral,177
2026-01-14,23:00,Woodlands CIQ,JB Sentral,47
2026-01-15,05:00,JB Sentral,Woodlands CIQ,640
2026-01-15,06:00,JB Sentral,Woodlands CIQ,638
2026-01-15,07:00,JB Sentral,Woodlands CIQ,640
2026-01-15,08:00,JB Sentral,Woodlands CIQ,320
